experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v3-2opt-3opt-50runs,v3,wi29,40,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29009,27603,1406,5.093649241024527,no,9.325967533000039,7623,184298,170805,499,28676,0,0,0,0,1,0,0,0,0,0,8258,50,208269,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,41,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29970,27603,2367,8.575154874470167,no,9.192099285999575,7855,184339,170444,417,29119,0,0,0,0,1,0,0,0,0,0,7692,61,207703,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,42,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29970,27603,2367,8.575154874470167,no,9.222922916999778,7894,184251,170726,478,28776,0,0,0,0,1,0,0,0,0,0,8256,59,208267,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,43,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29071,27603,1468,5.318262507698439,no,9.54302069499954,8362,182971,167576,488,31916,0,0,0,0,2,0,0,0,0,0,9319,49,209331,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,44,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.845794654999736,6688,186439,174457,418,25105,0,0,0,0,2,0,0,0,0,0,7365,53,207377,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,45,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27603,27603,0,0.0,yes,9.238478172000214,7089,185306,172994,300,26686,0,0,0,0,1,0,0,0,0,0,5191,51,205202,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,46,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28472,27603,869,3.1482085280585443,no,9.25203221799984,6957,185955,173925,466,25589,0,0,0,0,1,0,0,0,0,0,7841,56,207852,"[0, 1, 5, 9, 10, 14, 18, 17, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 16, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,47,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28737,27603,1134,4.108249103358331,no,9.034553385000436,7022,185880,173946,270,25764,0,0,0,0,1,0,0,0,0,0,6817,52,206828,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,48,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.711690721000195,6653,186556,175230,328,24422,0,0,0,0,1,0,0,0,0,0,10272,59,210283,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,49,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28737,27603,1134,4.108249103358331,no,8.851108822999777,6987,185904,173664,329,25987,0,0,0,0,2,0,0,0,0,0,8164,59,208176,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,50,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.785346503000255,6720,186442,175235,260,24485,0,0,0,0,1,0,0,0,0,0,10039,70,210050,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
